Municipios de 500 habitantes o más;Sexo;Edad;Nivel de estudios;Periodo;Total
28049 Coslada;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;18.170
28049 Coslada;Total;15 y más años;Educación superior;2024;20.462
28050 Cubas de la Sagra;Total;15 y más años;Educación primaria e inferior;2024;451
28050 Cubas de la Sagra;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.664
28050 Cubas de la Sagra;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.591
28050 Cubas de la Sagra;Total;15 y más años;Educación superior;2024;1.922
28051 Chapinería;Total;15 y más años;Educación primaria e inferior;2024;251
28051 Chapinería;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;604
28051 Chapinería;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;516
28051 Chapinería;Total;15 y más años;Educación superior;2024;788
28052 Chinchón;Total;15 y más años;Educación primaria e inferior;2024;878
28052 Chinchón;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.781
28052 Chinchón;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.158
28052 Chinchón;Total;15 y más años;Educación superior;2024;1.204
28053 Daganzo de Arriba;Total;15 y más años;Educación primaria e inferior;2024;559
28053 Daganzo de Arriba;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.008
28053 Daganzo de Arriba;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;2.426
28053 Daganzo de Arriba;Total;15 y más años;Educación superior;2024;3.860
28054 Escorial, El;Total;15 y más años;Educación primaria e inferior;2024;1.253
28054 Escorial, El;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;2.808
28054 Escorial, El;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;3.789
28054 Escorial, El;Total;15 y más años;Educación superior;2024;7.162
28055 Estremera;Total;15 y más años;Educación primaria e inferior;2024;302
28055 Estremera;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;440
28055 Estremera;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;285
28055 Estremera;Total;15 y más años;Educación superior;2024;247
28056 Fresnedillas de la Oliva;Total;15 y más años;Educación primaria e inferior;2024;234
28056 Fresnedillas de la Oliva;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;395
28056 Fresnedillas de la Oliva;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;339
28056 Fresnedillas de la Oliva;Total;15 y más años;Educación superior;2024;543
28057 Fresno de Torote;Total;15 y más años;Educación primaria e inferior;2024;237
28057 Fresno de Torote;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;581
28057 Fresno de Torote;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;592
28057 Fresno de Torote;Total;15 y más años;Educación superior;2024;693
28058 Fuenlabrada;Total;15 y más años;Educación primaria e inferior;2024;24.585
28058 Fuenlabrada;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;62.409
28058 Fuenlabrada;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;40.307
28058 Fuenlabrada;Total;15 y más años;Educación superior;2024;37.938
28059 Fuente el Saz de Jarama;Total;15 y más años;Educación primaria e inferior;2024;753
28059 Fuente el Saz de Jarama;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;1.618
28059 Fuente el Saz de Jarama;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;1.843
28059 Fuente el Saz de Jarama;Total;15 y más años;Educación superior;2024;2.092
28060 Fuentidueña de Tajo;Total;15 y más años;Educación primaria e inferior;2024;327
28060 Fuentidueña de Tajo;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;775
28060 Fuentidueña de Tajo;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;503
28060 Fuentidueña de Tajo;Total;15 y más años;Educación superior;2024;406
28061 Galapagar;Total;15 y más años;Educación primaria e inferior;2024;2.717
28061 Galapagar;Total;15 y más años;Primera etapa de Educación Secundaria y similar;2024;6.019
28061 Galapagar;Total;15 y más años;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2024;8.004
